PREFEITURA,ENDEREÇO,UF,IPTU,ITBI,DIVIDA ATIVA,CND,CONTATOS,OBSERVAÇÃO
Prefeitura Municipal de Rondonópolis,"Av. Duque de Caxias, 1000 - Vila Aurora, Rondonópolis - MT, 78740-022",MT,https://blue.rondonopolis.mt.gov.br/portal/rondonopolis/#/guias,PRESENCIAL,https://blue.rondonopolis.mt.gov.br/portal/rondonopolis/#/certidao,https://blue.rondonopolis.mt.gov.br/portal/rondonopolis/#/guias,tmritbi2@gmail.com | 66 3411-3526,
PREFEITURA MUNICIPAL DE CASCAVEL ,"RUA PARANA, Nº 5000, CENTRO - Cascavel/PR - CEP: 85.810-011",PR,https://cascavel.atende.net/autoatendimento/servicos/guias-de-iptu/detalhar/1,https://servicos2.speedgov.com.br/cascavel/requisicoes/pendentes,,,,
Prefeitura Municipal de Lajeado,"R. Júlio May, 242 - Centro, Lajeado - RS, 95900-178",RS,https://www.lajeado.rs.gov.br/conteudo/3195/964/3130?titulo=IPTU+2025,https://www.lajeado.rs.gov.br/conteudo/3321/964/3130?titulo=ITBI+Digital,,cnd ,,
Prefeitura Municipal de Curitiba,"Av. Cândido de Abreu, 817 - Centro Cívico Curitiba - PR CEP: 80.530-908",PR,https://www.curitiba.pr.gov.br/servicos/,https://www.curitiba.pr.gov.br/servicos/itbi-solicitacao-da-guia/635,https://isscuritiba.curitiba.pr.gov.br/GtmConsultaDebito/,,(41) 3350-8484,
PREFEITURA DE RIBEIRÃO PRETO,,SP,https://www.ribeiraopreto.sp.gov.br/portal/fazenda/servicos-on-line,https://www.ribeiraopreto.sp.gov.br/itbi/,https://www.ribeiraopreto.sp.gov.br/portal/fazenda/servicos-on-line,https://www.ribeiraopreto.sp.gov.br/fazenda/certidao-negativa-debitos-iptu,,
PREFEITURA DE HORTOLANDIA,,SP,https://siltecnologia.hortolandia.sp.gov.br/tbw/servlet/controle,https://facil.hortolandia.sp.gov.br/156/ver/154cb9f61d998ce2c8f1c048ad42626e/detalhes,,,,
PREFEITURA DE CAMPOS DOS GOYTACAZES,,RJ,https://fazenda.campos.rj.gov.br/,https://tributos.campos.rj.gov.br:9085/itbiOnline/,,cnd de iptu,,
PREFEITURA DE CAMPINAS,,SP,https://iptu.campinas.sp.gov.br/ E https://aprova-facil.campinas.sp.gov.br/processos/processo.action?d=Zm9ybUlkPUFFSW1vdmVpcw%3D%3D%3D&h=true,sac@campinas.sp.gov.b,,cnd de iptu,,
Distrito Federal,,DF,https://ww1.receita.fazenda.df.gov.br/emissao-segunda-via/iptu,https://ww1.receita.fazenda.df.gov.br/itbi/declaracao,,cnd de iptu,,
PREFEITURA DE UBERABA,,MG,,http://www.uberaba.mg.gov.br/itbi/pages/login.xhtml?uri=/pages/main.xhtml,,cnd de iptu,,
Prefeitura Municipal de Várzea Grande,"Av. Castelo Branco, 2500 - Centro Sul - Várzea Grande - MT",MT,https://varzeagrande.mt.gov.br/iptu,emissão é pelo cartorio de registro de imoveis,,cnd de iptu,,
PREFEITURA DE OSASCO,,SP,https://sf.osasco.sp.gov.br/pages/servicos/iptu/debito-do-iptu,https://sigt.osasco.sp.gov.br/iTRIB2/ItbEfetuarDeclaracaoItbi_Internet.do,,cnd de iptu,,
PREFEITURA DE VARZEA GRANDE ,"Av. Castelo Branco, 2500 - Centro Sul, Várzea Grande - MT, 78125-700",MT,,"65 3688-8218 - ITBI, NÃO TEM COMO EMITIR ONLINE, DEVE CONTRATAR UM CORRESPONDENTE PARA LEVAR A GUIA DE INFORMAÇÕES DE ITBI EMITIDA PELO REGISTRO DE IMOVEIS E DAR ENTRADA NA SOLICITAÇÃO DO ITBI",,,,
PREFEITURA DE BELO HORIZONTE,,MG,https://cnd.pbh.gov.br/CNDOnline/,"SOLICITAÇÃO POR CORRESPONDENTE - irismsoares@hotmail.com, PÓS O PAGAMENTO DEVE SER EMITIDO A CERTIDÃO DE QUITAÇÃO DE ITBI - https://cnd.pbh.gov.br/CNDOnline/",,cnd de iptu,,
Prefeitura Municipal de Jaboticabal,,SP,,https://gtiv4.jaboticabal.sp.gov.br/Itbi/Itbi_ok - login: douglas.nascimento@creditas.com - senha: Tempus@2025,,,,
São Paulo,,SP,https://iptu.prefeitura.sp.gov.br/,ITBI,,"Cnd de IPTU Link 1. Caso não funcione tentar com o link ao lado ""observação"" com orientações informadas.",,
